ts,f_uid,bb_uid,DE3,cce_uid,DE7,DE0,DE1,DY0,MN0,VO1,VO2,VO3,W0,PP0,MN2,MN3,CO0,AL,AA
1587509445,14D-1179,bbid-2056x,27.7,,,,,,,,,,,,,,,,
1587509345,14D-1179,,,CCE-id-1234,56.67,-29.75,20.45,921,10,397.9,541.6,40.8,4883.1,275.4,10,1,90,25558425,84304106
1587510045,14D-1179,bbid-2056x,72.54,,,,,,,,,,,,,,,,
1587509945,14D-1179,,,CCE-id-1234,71.46,81.31,42.92,884,8,136.3,196.6,80.3,236.4,97.0,7,2,191,55036591,66744582
1587510645,14D-1179,bbid-2056x,-37.65,,,,,,,,,,,,,,,,
1587510545,14D-1179,,,CCE-id-1234,13.46,6.0,83.99,285,4,480.7,802.8,95.6,4468.4,134.1,5,0,37,97519252,70420217
1587511245,14D-1179,bbid-2056x,-39.71,,,,,,,,,,,,,,,,
1587511145,14D-1179,,,CCE-id-1234,-26.95,-16.42,66.8,433,10,40.0,170.9,65.4,3333.2,144.7,2,4,107,53899619,94954625
1587511845,14D-1179,bbid-2056x,-82.89,,,,,,,,,,,,,,,,
1587511745,14D-1179,,,CCE-id-1234,45.21,29.55,-20.14,307,6,374.0,323.7,55.3,6617.6,278.1,10,8,2,26286806,31782540
1587512445,14D-1179,bbid-2056x,39.15,,,,,,,,,,,,,,,,
1587512345,14D-1179,,,CCE-id-1234,63.13,57.23,92.75,355,2,329.3,240.1,83.7,8488.5,107.1,5,4,207,61702623,97410077
1587513045,14D-1179,bbid-2056x,-34.57,,,,,,,,,,,,,,,,
1587512945,14D-1179,,,CCE-id-1234,61.32,-55.47,30.92,224,0,127.6,567.2,13.5,2228.8,24.7,7,7,225,14932078,66761942
1587513645,14D-1179,bbid-2056x,-53.46,,,,,,,,,,,,,,,,
1587513545,14D-1179,,,CCE-id-1234,-94.72,89.59,80.69,165,3,76.5,366.1,51.4,9358.3,9.7,3,10,164,48601306,54934204
1587514245,14D-1179,bbid-2056x,78.9,,,,,,,,,,,,,,,,
1587514145,14D-1179,,,CCE-id-1234,-63.7,-31.6,16.41,92,7,395.1,984.1,41.1,5904.0,193.8,8,1,32,29499246,65899321
1587514845,14D-1179,bbid-2056x,2.69,,,,,,,,,,,,,,,,
1587514745,14D-1179,,,CCE-id-1234,-30.8,-24.3,-67.5,701,2,138.3,668.5,38.2,3609.8,118.0,6,7,6,70217303,91586699
1587515445,14D-1179,bbid-2056x,0.72,,,,,,,,,,,,,,,,
